"icode","n","min","max","mean","sd","product","meanpsd","meanmsd","code","realm","biome","area"
55,1386714,605,10000,5495.422005,2042.547405,"MCD09_mean_06",7537.96941,3452.8746,"NT_2","Neotropics","Tropical & Subtropical Dry Broadleaf Forests",1144758.86402722
56,399192,1017,10000,7591.469078,1218.844984,"MCD09_mean_06",8810.314062,6372.624094,"NT_3","Neotropics","Tropical & Subtropical Coniferous Forests",327610.676518667
57,690956,3771,10000,7854.64719,926.30202,"MCD09_mean_06",8780.94921,6928.34517,"NT_4","Neotropics","Temperate Broadleaf & Mixed Forests",413198.920570835
58,4946417,949,9765,4737.95969,1647.871531,"MCD09_mean_06",6385.831221,3090.088159,"NT_7","Neotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands",3993853.751848
59,2478959,2540,10000,5781.788343,851.081169,"MCD09_mean_06",6632.869512,4930.707174,"NT_8","Neotropics","Temperate Grasslands, Savannas & Shrublands",1629667.51758279
60,340291,1962,9569,4596.192415,1344.513409,"MCD09_mean_06",5940.705824,3251.679006,"NT_9","Neotropics","Flooded Grasslands & Savannas",270985.872744574
61,1103938,306,10000,3457.37749,2657.61398,"MCD09_mean_06",6114.99147,799.76351,"NT_10","Neotropics","Montane Grasslands & Shrublands",874747.377543077
62,203097,701,9859,3999.999114,1996.247313,"MCD09_mean_06",5996.246427,2003.751801,"NT_12","Neotropics","Mediterranean Forests, Woodlands & Scrub",148840.281162682
63,1401083,0,9940,4895.46218,2383.842714,"MCD09_mean_06",7279.304894,2511.619466,"NT_13","Neotropics","Deserts & Xeric Shrublands",1178910.87764069
64,151413,352,9884,6246.004445,1629.892097,"MCD09_mean_06",7875.896542,4616.112348,"NT_14","Neotropics","Mangroves",125626.572163706
65,9721,743,2636,1273.487398,212.649071,"MCD09_mean_06",1486.136469,1060.838327,"NT_98","Neotropics","Lake",8033.35708767562
66,31283,6947,10000,9377.98456,639.674056,"MCD09_mean_06",10017.658616,8738.310504,"NT_99","Neotropics","Rock & Ice",17425.9514544645
67,35354,1299,9963,6822.847599,1511.485472,"MCD09_mean_06",8334.333071,5311.362127,"OC_1","Oceania","Tropical & Subtropical Moist Broadleaf Forests",29041.4567475314
68,18023,1192,9922,6153.433502,1587.51659,"MCD09_mean_06",7740.950092,4565.916912,"OC_2","Oceania","Tropical & Subtropical Dry Broadleaf Forests",14716.7680716168
69,4200,1372,9573,3932.897143,1742.42326,"MCD09_mean_06",5675.320403,2190.473883,"OC_7","Oceania","Tropical & Subtropical Grasslands, Savannas & Shrublands",3397.20486338822
1,4109912,506,10000,7191.210236,1766.038317,"MCD09_mean_07",8957.248553,5425.171919,"AT_1","Afrotropics","Tropical & Subtropical Moist Broadleaf Forests",3493131.82776895
2,236635,164,8869,1819.220107,1166.79926,"MCD09_mean_07",2986.019367,652.420847,"AT_2","Afrotropics","Tropical & Subtropical Dry Broadleaf Forests",195296.351029083
3,16678175,0,10000,4747.704521,2724.18628,"MCD09_mean_07",7471.890801,2023.518241,"AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands",14012152.6144706
4,32718,1416,9614,3108.468213,900.25064,"MCD09_mean_07",4008.718853,2208.217573,"AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands",25842.0842717302
5,547700,43,8469,4427.560283,2774.142172,"MCD09_mean_07",7201.702455,1653.418111,"AT_9","Afrotropics","Flooded Grasslands & Savannas",458825.014149343
