"icode","n","min","max","mean","sd","meanpsd","meanmsd","month","code","realm","biome"
1,4109907,1,100,71.863004,15.13472,86.997724,56.728284,"03","AT_1","Afrotropics","Tropical & Subtropical Moist Broadleaf Forests"
2,236635,6,95,56.474245,12.349387,68.823632,44.124858,"03","AT_2","Afrotropics","Tropical & Subtropical Dry Broadleaf Forests"
3,16677851,0,100,50.723169,22.308227,73.031396,28.414942,"03","AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
4,32718,8,92,16.734947,8.553812,25.288759,8.181135,"03","AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands"
5,547700,20,96,50.743754,13.187724,63.931478,37.55603,"03","AT_9","Afrotropics","Flooded Grasslands & Savannas"
6,1082136,3,100,53.750859,14.656756,68.407615,39.094103,"03","AT_10","Afrotropics","Montane Grasslands & Shrublands"
7,133341,9,67,30.280056,10.114381,40.394437,20.165675,"03","AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub"
8,3035391,1,89,31.817966,15.390033,47.207999,16.427933,"03","AT_13","Afrotropics","Deserts & Xeric Shrublands"
9,90957,11,97,59.050991,22.494589,81.54558,36.556402,"03","AT_14","Afrotropics","Mangroves"
10,182688,24,94,57.489381,10.470342,67.959723,47.019039,"03","AT_98","Afrotropics","Lake"
11,15250247,5,100,53.118523,18.686106,71.804629,34.432417,"03","AN_11","Antarctic","Tundra"
12,1358169,43,100,83.746241,8.014116,91.760357,75.732125,"03","AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests"
13,104288,49,100,78.785162,8.827429,87.612591,69.957733,"03","AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests"
14,1060843,26,92,55.766984,10.988573,66.755557,44.778411,"03","AA_4","Australasia","Temperate Broadleaf & Mixed Forests"
15,2670428,25,94,58.597093,11.640879,70.237972,46.956214,"03","AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands"
16,865493,22,92,38.428969,8.574558,47.003527,29.854411,"03","AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands"
17,99967,37,100,65.42447,17.168975,82.593445,48.255495,"03","AA_10","Australasia","Montane Grasslands & Shrublands"
18,1630,68,94,84.387117,5.750956,90.138073,78.636161,"03","AA_11","Australasia","Tundra"
19,1113014,17,83,34.257262,7.610013,41.867275,26.647249,"03","AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub"
20,4626700,13,75,34.92008,7.801687,42.721767,27.118393,"03","AA_13","Australasia","Deserts & Xeric Shrublands"
21,31421,60,94,78.290825,5.799714,84.090539,72.491111,"03","AA_14","Australasia","Mangroves"
22,6661401,4,100,56.843862,26.387416,83.231278,30.456446,"03","IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests"
23,1886721,3,91,30.758132,20.22647,50.984602,10.531662,"03","IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests"
24,127677,13,100,43.116693,18.15813,61.274823,24.958563,"03","IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests"
25,200216,15,100,61.231305,18.971959,80.203264,42.259346,"03","IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests"
26,90962,17,100,58.800642,21.289322,80.089964,37.51132,"03","IM_5","IndoMalay","Temperate Conifer Forests"
27,45388,13,78,20.795475,5.382381,26.177856,15.413094,"03","IM_7","IndoMalay","Tropical & Subtropical Grasslands, Savannas & Shrublands"
28,35520,4,69,10.673452,4.71484,15.388292,5.958612,"03","IM_9","IndoMalay","Flooded Grasslands & Savannas"
29,5088,66,99,86.165291,7.599416,93.764707,78.565875,"03","IM_10","IndoMalay","Montane Grasslands & Shrublands"
30,1396261,3,62,20.974175,9.412987,30.387162,11.561188,"03","IM_13","IndoMalay","Deserts & Xeric Shrublands"
31,142941,4,97,47.152594,25.187403,72.339997,21.965191,"03","IM_14","IndoMalay","Mangroves"
32,666166,24,90,65.21151,15.883255,81.094765,49.328255,"03","NA_2","Nearctic","Tropical & Subtropical Dry Broadleaf Forests"
33,14778591,21,100,62.611289,10.877848,73.489137,51.733441,"03","NA_3","Nearctic","Tropical & Subtropical Coniferous Forests"
34,2891794,22,100,59.254647,16.287884,75.542531,42.966763,"03","NA_4","Nearctic","Temperate Broadleaf & Mixed Forests"
35,24585235,13,100,53.046523,15.151444,68.197967,37.895079,"03","NA_5","Nearctic","Temperate Conifer Forests"
36,8286176,20,100,52.408396,12.467324,64.87572,39.941072,"03","NA_6","Nearctic","Boreal Forests/Taiga"
37,526657,7,70,34.898689,9.155388,44.054077,25.743301,"03","NA_7","Nearctic","Tropical & Subtropical Grasslands, Savannas & Shrublands"
38,4899545,11,100,56.946622,14.479261,71.425883,42.467361,"03","NA_8","Nearctic","Temperate Grasslands, Savannas & Shrublands"
39,13143262,6,100,62.150305,15.659138,77.809443,46.491167,"03","NA_11","Nearctic","Tundra"
40,3015613,15,100,52.129288,10.996742,63.12603,41.132546,"03","NA_12","Nearctic","Mediterranean Forests, Woodlands & Scrub"
41,24050452,3,100,31.550294,14.896781,46.447075,16.653513,"03","NA_13","Nearctic","Deserts & Xeric Shrublands"
42,67273,14,33,22.385489,2.476336,24.861825,19.909153,"03","NA_98","Nearctic","Lake"
43,375006,16,75,30.684256,7.022315,37.706571,23.661941,"03","NA_99","Nearctic","Rock & Ice"
44,4419312,43,93,62.831216,6.135507,68.966723,56.695709,"03","NT_1","Neotropics","Tropical & Subtropical Moist Broadleaf Forests"
